symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,0.00050000,0.816,0.06154284,0.06128000,0.06177000,0.46130000,0.06177000,21.70000000,0.06178000,34.54420000,0.06127000,0.06182000,0.06117000,11362.13340000,699.25793542,1694765112304,1694851512304,423035109,423058319,23211
LTCBTC,0.00010300,4.344,0.00245326,0.00237200,0.00247400,0.34300000,0.00247400,111.34400000,0.00247500,53.31700000,0.00237100,0.00250800,0.00237100,82966.71400000,203.53911100,1694765113227,1694851513227,93479346,93496365,17020
BNBBTC,0.00013000,1.629,0.00805143,0.00798200,0.00811200,0.81500000,0.00811100,26.29500000,0.00811200,7.26000000,0.00798200,0.00811500,0.00798200,26359.06600000,212.22815138,1694765099783,1694851499783,227078407,227106356,27950
NEOBTC,0.00000300,1.095,0.00027690,0.00027390,0.00027690,2.80000000,0.00027690,16.80000000,0.00027710,34.37000000,0.00027390,0.00027980,0.00027370,7005.20000000,1.93974959,1694765105068,1694851505068,45508902,45510058,1157
QTUMETH,0.00001900,1.432,0.00135120,0.00132200,0.00134600,4.90000000,0.00135100,45.20000000,0.00135600,16.90000000,0.00132700,0.00137100,0.00132600,867.40000000,1.17203120,1694765074063,1694851474063,5401878,5401936,59
EOSETH,0.00000430,1.237,0.00034991,0.00034790,0.00035180,52.20000000,0.00035140,516.20000000,0.00035260,1679.70000000,0.00034750,0.00035360,0.00034670,8683.10000000,3.03833499,1694765048046,1694851448046,23497556,23497635,80
SNTETH,0.00000029,2.158,0.00001368,0.00001340,0.00001373,2532.00000000,0.00001373,4451.00000000,0.00001380,18652.00000000,0.00001344,0.00001379,0.00001344,152607.00000000,2.08800259,1694765061237,1694851461237,3906788,3906843,56
BNTETH,0.00002110,8.648,0.00026326,0.00024500,0.00026510,4.00000000,0.00026450,231.00000000,0.00026570,29.60000000,0.00024400,0.00027980,0.00024220,135189.70000000,35.58975542,1694765110455,1694851510455,2233443,2234740,1298
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
GASBTC,0.00000240,2.743,0.00008812,0.00008750,0.00008990,186.10000000,0.00008980,28.30000000,0.00008990,43.00000000,0.00008750,0.00009030,0.00008610,47176.70000000,4.15720593,1694765079769,1694851479769,20793845,20797150,3306
BNBETH,0.00100000,0.767,0.13072222,0.13040000,0.13130000,2.79800000,0.13120000,164.99200000,0.13130000,0.06000000,0.13030000,0.13150000,0.13000000,4793.58100000,626.62754180,1694765114346,1694851514346,56279934,56284553,4620
BTCUSDT,-71.23000000,-0.268,26516.40796059,26558.68000000,26487.44000000,0.02243000,26487.44000000,0.53673000,26487.45000000,10.61373000,26558.67000000,26888.00000000,26224.00000000,26748.02861000,709261638.76421980,1694765114433,1694851514433,3212723261,3213416939,693679
ETHUSDT,8.83000000,0.543,1633.16405171,1627.52000000,1636.35000000,1.66030000,1636.34000000,22.44020000,1636.35000000,25.01500000,1627.52000000,1654.08000000,1611.42000000,184321.67130000,301027527.51819300,1694765113262,1694851513262,1196945602,1197275770,330169
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
WTCBTC,0.00000025,4.562,0.00000560,0.00000548,0.00000573,761.00000000,0.00000572,73.00000000,0.00000574,1570.00000000,0.00000548,0.00000576,0.00000547,117689.00000000,0.65958455,1694764935764,1694851335764,20177253,20178339,1087
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
LRCBTC,0.00000023,3.443,0.00000687,0.00000667,0.00000691,75.00000000,0.00000688,8165.00000000,0.00000690,1095.00000000,0.00000668,0.00000695,0.00000668,528297.00000000,3.62911411,1694765109071,1694851509071,22102542,22103135,594
LRCETH,0.00000194,1.774,0.00011153,0.00010927,0.00011132,546.00000000,0.00011140,548.00000000,0.00011278,1095.00000000,0.00010938,0.00011249,0.00010932,130412.00000000,14.54427459,1694765114462,1694851514462,4718184,4718271,88
QTUMBTC,0.00000260,3.206,0.00008334,0.00008060,0.00008370,0.60000000,0.00008340,828.00000000,0.00008370,96.80000000,0.00008110,0.00008500,0.00008090,6040.10000000,0.50339741,1694765093678,1694851493678,24070999,24071314,316
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
ZRXBTC,0.00000031,4.572,0.00000707,0.00000676,0.00000709,55.00000000,0.00000708,745.00000000,0.00000710,2109.00000000,0.00000678,0.00000731,0.00000671,381550.00000000,2.69941553,1694765109301,1694851509301,25388844,25389826,983
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
BQXETH,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
KNCBTC,0.00000405,20.119,0.00002325,0.00002013,0.00002418,165.20000000,0.00002418,77.20000000,0.00002426,15.30000000,0.00002013,0.00002526,0.00002013,1020054.20000000,23.71906130,1694765092666,1694851492666,20218915,20223522,4608
KNCETH,0.00000000,0.000,0.00000000,0.00039410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
FUNBTC,0.00000000,0.000,0.00000000,0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
FUNETH,-0.00000003,-1.210,0.00000245,0.00000248,0.00000245,18855.00000000,0.00000243,727708.00000000,0.00000245,109038.00000000,0.00000248,0.00000248,0.00000243,3328205.00000000,8.15834294,1694765113432,1694851513432,3200803,3200942,140
SNMBTC,-0.00000069,-54.762,0.00000098,0.00000127,0.00000057,46703.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000126,0.00000147,0.00000055,26662465.00000000,26.13502488,1692586803266,1692673203266,14644423,14651718,7296
SNMETH,0.00000000,0.000,0.00000000,0.00004986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
NEOETH,0.00000700,0.156,0.00449297,0.00447300,0.00448700,0.49000000,0.00448000,4.23000000,0.00448800,4.23000000,0.00448000,0.00453100,0.00446400,880.08000000,3.95417225,1694765111250,1694851511250,11338779,11339169,391
IOTABTC,-0.00000026,-4.194,0.00000602,0.00000621,0.00000594,1320.00000000,0.00000594,4522.00000000,0.00000595,4999.00000000,0.00000620,0.00000626,0.00000592,3745104.00000000,22.55207695,1694765113209,1694851513209,34318316,34323268,4953
IOTAETH,-0.00000480,-4.743,0.00009817,0.00010140,0.00009640,5865.00000000,0.00009610,8150.00000000,0.00009650,3210.00000000,0.00010120,0.00010170,0.00009630,332430.00000000,32.63517500,1694765114156,1694851514156,7780922,7781228,307
LINKBTC,0.00000620,2.679,0.00023414,0.00023130,0.00023760,12.67000000,0.00023740,1012.79000000,0.00023760,296.89000000,0.00023140,0.00024030,0.00022980,314111.44000000,73.54632032,1694765106351,1694851506351,89500993,89510520,9528
LINKETH,0.00007000,1.855,0.00383633,0.00377300,0.00384400,76.33000000,0.00384500,139.38000000,0.00384700,8.34000000,0.00377400,0.00389500,0.00375900,30962.77000000,118.78336246,1694765100405,1694851500405,20269675,20271098,1424
XVGBTC,0.00000000,0.000,0.00000000,0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689572387934,1689658787934,-1,-1,0
XVGETH,0.00000006,2.913,0.00000210,0.00000205,0.00000212,3538.00000000,0.00000211,448559.00000000,0.00000212,57628.00000000,0.00000206,0.00000214,0.00000205,7105914.00000000,14.89569245,1694765107653,1694851507653,11227504,11227676,173
